schedule_id,flight_date,origin_airport,dest_airport,dept_time,arr_time,flight_id ,delay_time,flight_status_id 
SC000070098,1/26/2018,MDW,MCI,1514,1636,204,-9,1
SC000070119,1/26/2018,MDW,MSP,1423,1537,260,-18,1
SC000070140,1/26/2018,MDW,PHL,2200,38,1520,-17,1
SC000070161,1/26/2018,MDW,RSW,531,904,1275,-16,1
SC000070182,1/26/2018,MDW,STL,1917,2019,1566,-6,1
SC000070203,1/26/2018,MHT,BWI,1432,1602,5504,-8,1
SC000070224,1/26/2018,MKE,DEN,1518,1646,5877,-9,1
SC000070245,1/26/2018,MSP,ATL,558,923,1724,-7,1
SC000070266,1/26/2018,MSP,STL,605,726,1328,-14,1
SC000070287,1/26/2018,MSY,DCA,1930,2245,1626,-10,1
SC000070308,1/26/2018,MSY,MCO,1838,2111,915,1,3
SC000070329,1/26/2018,OAK,BOI,2244,108,6087,63,3
SC000070350,1/26/2018,OAK,DEN,1329,1641,6033,-19,1
SC000070371,1/26/2018,OAK,LAX,546,650,1901,-20,1
SC000070392,1/26/2018,OAK,ONT,2050,2200,5918,0,2
SC000070413,1/26/2018,OAK,SAN,2050,2214,5434,-6,1
SC000070434,1/26/2018,OAK,STL,1221,1741,5890,-24,1
SC000070455,1/26/2018,OMA,DEN,2020,2046,665,-19,1
SC000070476,1/26/2018,ONT,LAS,940,1034,6085,-1,1
SC000070497,1/26/2018,ONT,SJC,1114,1217,6443,-3,1
SC000070518,1/26/2018,PBI,BWI,645,857,6374,-18,1
SC000070539,1/26/2018,PDX,OAK,1339,1511,6815,-14,1
SC000070560,1/26/2018,PHL,ATL,715,912,211,-18,1
SC000070581,1/26/2018,PHL,STL,803,955,767,15,3
SC000070602,1/26/2018,PHX,BUR,1332,1352,753,7,3
SC000070623,1/26/2018,PHX,DEN,1235,1405,972,-15,1
SC000070644,1/26/2018,PHX,LAS,1232,1228,1106,18,3
SC000070665,1/26/2018,PHX,MCI,1140,1517,985,12,3
SC000070686,1/26/2018,PHX,OKC,1132,1439,1919,-6,1
SC000070707,1/26/2018,PHX,SAN,1239,1243,1730,8,3
SC000070728,1/26/2018,PHX,SJC,1420,1511,793,-4,1
SC000070749,1/26/2018,PHX,STL,1713,2043,1920,-27,1
SC000070770,1/26/2018,PIT,MDW,1248,1303,378,-17,1
SC000070791,1/26/2018,PVD,FLL,621,916,3394,-34,1
SC000070812,1/26/2018,RDU,BWI,730,840,1528,0,2
SC000070833,1/26/2018,RNO,DEN,606,909,100,-21,1
SC000070854,1/26/2018,RNO,SJC,956,1053,6164,-12,1
SC000070875,1/26/2018,RSW,MDW,1903,2049,140,-16,1
SC000070896,1/26/2018,SAN,DEN,2044,2353,603,-12,1
SC000070917,1/26/2018,SAN,MDW,925,1510,754,165,3
SC000070938,1/26/2018,SAN,PHX,1613,1820,1096,-5,1
SC000070959,1/26/2018,SAN,SJC,1708,1828,208,3,3
SC000070980,1/26/2018,SAN,SMF,736,925,1930,10,3
SC000071001,1/26/2018,SAT,DAL,1314,1415,5781,15,3
SC000071022,1/26/2018,SAT,MSY,710,832,1333,-3,1
SC000071043,1/26/2018,SEA,DEN,717,1047,853,-13,1
SC000071064,1/26/2018,SEA,SJC,737,944,1564,-1,1
SC000071085,1/26/2018,SFO,LAS,1426,1538,690,-12,1
SC000071106,1/26/2018,SFO,PHX,856,1158,5623,-2,1
SC000071127,1/26/2018,SJC,BUR,1854,1951,1813,-4,1
SC000071148,1/26/2018,SJC,LAX,636,749,980,-11,1
SC000071169,1/26/2018,SJC,PHX,704,944,2091,19,3
SC000071190,1/26/2018,SJC,SLC,1028,1306,1472,-9,1
SC000071211,1/26/2018,SLC,DAL,620,1011,1535,1,3
SC000071232,1/26/2018,SLC,PHX,1200,1324,793,-11,1
SC000071253,1/26/2018,SMF,DEN,1050,1356,422,-9,1
SC000071274,1/26/2018,SMF,LGB,1859,2009,6092,-1,1
SC000071295,1/26/2018,SMF,SAN,1716,1836,133,-14,1
SC000071316,1/26/2018,SMF,SNA,1936,2045,6325,-10,1
SC000071337,1/26/2018,SNA,PHX,902,1112,38,32,3
